SKU OG,SKU AC
brand22 sub_brand13 LATA NO RETORNABLE 269.0,3 CORDILLERAS ROSADA LATA NO RETORNABLE 269.0
brand17 sub_brand3 BOTELLA NO RETORNABLE 250.0,SOL CTE BOTELLA NO RETORNABLE 250.0
brand14 sub_brand3 BOTELLA RETORNABLE 330.0,ANDINA CTE BOTELLA RETORNABLE 330.0
brand12 sub_brand16 LATA NO RETORNABLE 330.0,POKER PURA MALTA LATA NO RETORNABLE 330.0
brand16 sub_brand6 LATA NO RETORNABLE 330.0,AGUILA CERO LATA NO RETORNABLE 330.0
brand26 sub_brand9 BOTELLA RETORNABLE 330.0,CORONA EXTRA BOTELLA RETORNABLE 330.0
brand1 sub_brand26 BOTELLA NO RETORNABLE 330.0,CLUB COLOMBIA ROJA BOTELLA NO RETORNABLE 330.0
brand1 sub_brand1 LATA NO RETORNABLE 355.0,CLUB COLOMBIA PREMIUM/EXTRA FINA LATA NO RETORNABLE 355.0
brand10 sub_brand2 LATA NO RETORNABLE 330.0,ELVIS JUICE T. LATA NO RETORNABLE 330.0
brand16 sub_brand5 LATA NO RETORNABLE 269.0,AGUILA LIGHT LATA NO RETORNABLE 269.0
brand3 sub_brand3 BOTELLA RETORNABLE 1000.0,COSTENA CTE BOTELLA RETORNABLE 1000.0
brand38 sub_brand2 LATA NO RETORNABLE 330.0,HAZY JANE T. LATA NO RETORNABLE 330.0
brand25 sub_brand2 BOTELLA NO RETORNABLE 330.0,STELLA ARTOIS T. BOTELLA NO RETORNABLE 330.0
brand51 sub_brand3 BOTELLA NO RETORNABLE 250.0,REDD'S CTE BOTELLA NO RETORNABLE 250.0
brand55 sub_brand2 BOTELLA NO RETORNABLE 330.0,ASPALL T. BOTELLA NO RETORNABLE 330.0
brand54 sub_brand2 BOTELLA NO RETORNABLE 330.0,VEDETT T. BOTELLA NO RETORNABLE 330.0
brand26 sub_brand6 BOTELLA NO RETORNABLE 330.0,CORONA CERO BOTELLA NO RETORNABLE 330.0
brand1 sub_brand7 BOTELLA NO RETORNABLE 330.0,CLUB COLOMBIA NEGRA BOTELLA NO RETORNABLE 330.0
brand34 sub_brand2 LATA NO RETORNABLE 330.0,PL T. LATA NO RETORNABLE 330.0
brand1 sub_brand26 BOTELLA RETORNABLE 330.0,CLUB COLOMBIA ROJA BOTELLA RETORNABLE 330.0
brand1 sub_brand7 LATA NO RETORNABLE 330.0,CLUB COLOMBIA NEGRA LATA NO RETORNABLE 330.0
brand70 sub_brand3 LATA NO RETORNABLE 330.0,PERONI CTE LATA NO RETORNABLE 330.0
brand9 sub_brand2 BOTELLA NO RETORNABLE 650.0,HOLLANDIA T. BOTELLA NO RETORNABLE 650.0
brand33 sub_brand3 BOTELLA NO RETORNABLE 300.0,TECATE CTE BOTELLA NO RETORNABLE 300.0
brand17 sub_brand3 BOTELLA NO RETORNABLE 355.0,SOL CTE BOTELLA NO RETORNABLE 355.0
brand58 sub_brand3 LATA NO RETORNABLE 330.0,AZTECA CTE LATA NO RETORNABLE 330.0
brand1 sub_brand10 LATA NO RETORNABLE 330.0,CLUB COLOMBIA DOBLE MALTA LATA NO RETORNABLE 330.0
brand9 sub_brand2 LATA NO RETORNABLE 330.0,HOLLANDIA T. LATA NO RETORNABLE 330.0
brand20 sub_brand17 LATA NO RETORNABLE 250.0,HEINEKEN HEINEKEN 0.0 LATA NO RETORNABLE 250.0
brand88 sub_brand3 BOTELLA NO RETORNABLE null.0,POLAR CTE BOTELLA NO RETORNABLE null.0
brand64 sub_brand2 BOTELLA NO RETORNABLE 330.0,DELIRIUM T. BOTELLA NO RETORNABLE 330.0
brand33 sub_brand3 LATA NO RETORNABLE 269.0,TECATE CTE LATA NO RETORNABLE 269.0
brand14 sub_brand5 BOTELLA NO RETORNABLE 250.0,ANDINA LIGHT BOTELLA NO RETORNABLE 250.0
