sku,reference_volume,reference_price
AZTECA CTE LATA NO RETORNABLE 330.0,14938.17112,5436.970052
BAHIA CTE LATA NO RETORNABLE 330.0,27845.45302,5594.831543
BECK'S CTE BOTELLA NO RETORNABLE 275.0,8.352226927,10977.38346
BECK'S CTE LATA NO RETORNABLE 269.0,3.096999159,11152.41504
BECK'S CTE LATA NO RETORNABLE 330.0,3.555523963,9541.569336
BECK'S CTE LATA NO RETORNABLE 355.0,2.558918137,5633.801758
BOGOTA BEER COMPANY CAJICA BOTELLA NO RETORNABLE 330.0,129.4800036,14346.82585
BOGOTA BEER COMPANY CAJICA LATA NO RETORNABLE 269.0,271.9388161,13378.51432
BOGOTA BEER COMPANY CHAPINERO BOTELLA NO RETORNABLE 330.0,0.317228495,15043.31299
BOGOTA BEER COMPANY LA COTIDIANA LATA NO RETORNABLE 269.0,0.88006766,13125.03743
BOGOTA BEER COMPANY LAGER BOTELLA NO RETORNABLE 330.0,61.97663956,11577.81999
BOGOTA BEER COMPANY MONSERRATE BOTELLA NO RETORNABLE 330.0,33.67561314,14030.67611
BOGOTA BEER COMPANY OTRAS BARRIL NO RETORNABLE null.0,0.0345,7414.38623
BOGOTA BEER COMPANY ROSE BOTELLA NO RETORNABLE 330.0,63.3160929,15127.55241
BOGOTA BEER COMPANY ROSE LATA NO RETORNABLE 269.0,223.457375,15068.80957
BOGOTA BEER COMPANY SEPTIMAZO BOTELLA NO RETORNABLE 330.0,0.00495,20300
BUDWEISER T. BOTELLA NO RETORNABLE 250.0,2809.223275,13440.40723
BUDWEISER T. BOTELLA RETORNABLE 250.0,955.5589041,12456.61035
BUDWEISER T. BOTELLA RETORNABLE 330.0,357.5996508,10683.52148
BUDWEISER T. LATA NO RETORNABLE 269.0,25538.53082,10643.75911
BUDWEISER T. LATA NO RETORNABLE 355.0,49.38877687,6875.374512
BUSCH LIGHT LATA NO RETORNABLE 330.0,4.444744358,9090.911133
CLUB COLOMBIA DOBLE MALTA BOTELLA NO RETORNABLE 330.0,0.019799999,8156.565918
CLUB COLOMBIA DOBLE MALTA BOTELLA RETORNABLE 330.0,8.506189439,10079.57096
CLUB COLOMBIA DOBLE MALTA LATA NO RETORNABLE 330.0,2.112709027,9789.111979
CLUB COLOMBIA GRAN DORADA BOTELLA RETORNABLE null.0,17271.54379,7298.528971
CLUB COLOMBIA JUAN VALDEZ LATA NO RETORNABLE 269.0,140.8639752,13383.44434
CLUB COLOMBIA NEGRA BOTELLA NO RETORNABLE 330.0,47.99588172,11822.3597
CLUB COLOMBIA NEGRA BOTELLA RETORNABLE 330.0,1544.20419,13054.21126
CLUB COLOMBIA NEGRA LATA NO RETORNABLE 330.0,1332.240794,11161.08268
CLUB COLOMBIA NEGRA LATA NO RETORNABLE 355.0,0.085199998,7323.943848
CLUB COLOMBIA OKTOBERFEST BOTELLA RETORNABLE 330.0,36.72233326,10606.06055
CLUB COLOMBIA OKTOBERFEST LATA NO RETORNABLE 330.0,0.820797681,8858.575358
CLUB COLOMBIA PREMIUM/EXTRA FINA BOTELLA NO RETORNABLE 330.0,339.1062064,10504.89193
CLUB COLOMBIA PREMIUM/EXTRA FINA BOTELLA RETORNABLE 330.0,54813.37102,11879.84701
CLUB COLOMBIA PREMIUM/EXTRA FINA LATA NO RETORNABLE 269.0,8033.79755,9138.975586
CLUB COLOMBIA PREMIUM/EXTRA FINA LATA NO RETORNABLE 330.0,29711.92154,10053.69434
CLUB COLOMBIA PREMIUM/EXTRA FINA LATA NO RETORNABLE 355.0,27.1427712,9576.126953
CLUB COLOMBIA PREMIUM/EXTRA FINA LATA NO RETORNABLE 473.0,10981.23687,8974.984701
CLUB COLOMBIA ROJA BOTELLA NO RETORNABLE 330.0,6.064710666,11856.10938
CLUB COLOMBIA ROJA BOTELLA RETORNABLE 330.0,2458.363638,13444.89714
CLUB COLOMBIA ROJA LATA NO RETORNABLE 330.0,2436.523014,10617.75684
CLUB COLOMBIA TRIGO BOTELLA NO RETORNABLE 330.0,34.67016144,12400.54004
CLUB COLOMBIA TRIGO BOTELLA RETORNABLE 330.0,1718.30467,12958.11198
CLUB COLOMBIA TRIGO LATA NO RETORNABLE 330.0,1775.317865,10942.00716
CORONA CERO BOTELLA NO RETORNABLE 330.0,1412.613265,14444.29557
CORONA CERO LATA NO RETORNABLE 269.0,319.3000439,11599.96875
CORONA EXTRA BOTELLA NO RETORNABLE 210.0,111.441718,14956.90625
CORONA EXTRA BOTELLA NO RETORNABLE 330.0,18593.32669,13578.31445
CORONA EXTRA BOTELLA NO RETORNABLE 355.0,177.1708597,16077.05566
CORONA EXTRA BOTELLA RETORNABLE 330.0,7663.760105,18258.37891
CORONA EXTRA LATA NO RETORNABLE 269.0,6347.920865,12906.21875
CORONITA EXTRA BOTELLA NO RETORNABLE 207.0,158.1698373,14088.0306
CORONITA EXTRA BOTELLA NO RETORNABLE 210.0,63133.26769,16649.11719
CORONITA EXTRA BOTELLA RETORNABLE 210.0,1897.699514,19605.57292
COSTENA BACANA BOTELLA NO RETORNABLE 320.0,35.48085692,9209.217773
COSTENA BACANA BOTELLA RETORNABLE 320.0,91266.52966,8466.455404
